Headline,Sentiment
Trump says 'framework of a future deal' discussed on Greenland as he backs off tariffs threat,Neutral
Rescuers try to reach people missing in landslides as rains wreak havoc in New Zealand,Negative
Why Sydney is preserving thousands of flowers after deadly Bondi attack,Negative
Australia's opposition coalition splits after row over Bondi shooting reforms,Neutral
'I'm still shaking' - Tourist recounts running from New Zealand landslide,Positive
US allies won't forget Trump Greenland crisis,Neutral
US House panel votes to hold Clintons in contempt over Epstein subpoenas,Neutral
"Blockbusters, battles and Brits: Hollywood gears up for Oscar nominations",Neutral
National security trial for HK's Tiananmen activists begins,Neutral
Watch: Russian cosmonaut captures stunning aurora from space,Positive
Oldest cave painting of red claw hand could rewrite human creativity timeline,Neutral
Philippine journalist found guilty of financing terrorism,Negative
Seven more countries agree to join Trump's Board of Peace,Positive
Faisal Islam: What it was like in the room as Trump spoke in Davos,Neutral
California Governor Newsom says White House blocked his Davos event,Neutral
'Canada lives because of US' - Trump digs at Carney in Davos speech,Neutral
Trump's jibes are wearing thin for many of Europe's leaders,Positive
Fact-checking Trump's Davos speech,Neutral
Japan restarts world's largest nuclear plant as Fukushima memories loom large,Positive
Ashton Kutcher: Hollywood isn't to blame for pushing unrealistic beauty standards,Negative
How tiny Slovakia became a car making heavyweight,Neutral
Beckham v Peltz Beckham: Could Brooklyn torpedo the family brand?,Neutral
I was a hostage negotiator for 10 years - this is what it taught me about parenting,Neutral
"The Indian couple who won a $200,000 settlement over 'food racism' at US university",Neutral
'Really scary': Sydney residents react to shark attacks,Negative
Watch: Russian cosmonaut captures stunning aurora from space,Positive
'I'm still shaking' - Tourist recounts running from New Zealand landslide,Positive
Record snowfall leaves cars stuck and people stranded in Russia's Far East,Positive
Watch: How was Trump's Davos speech received?,Neutral
More than 100 vehicles pile up on US motorway after crash,Positive
New Zealand to hold general election on 7 November,Positive
Alleged scam mastermind arrested after being exposed by BBC,Negative
"Trump credit card plan would be a 'disaster', JP Morgan boss warns",Neutral
Bezos' Blue Origin announces satellite rival to Musk's Starlink,Neutral
Philippine journalist found guilty of financing terrorism,Negative
Texas jury clears police officer for Uvalde school shooting response,Neutral
"Israeli strike in Gaza kills three journalists, first responders say",Positive
Trump says 'framework of a future deal' discussed on Greenland as he backs off tariffs threat,Neutral
Seven more countries agree to join Trump's Board of Peace,Positive
US allies won't forget Trump Greenland crisis,Neutral
"The Indian couple who won a $200,000 settlement over 'food racism' at US university",Neutral
Second lady Usha Vance announces she is pregnant with fourth child,Positive
Trump's jibes are wearing thin for many of Europe's leaders,Positive
Faisal Islam: What it was like inside the room with Donald Trump at Davos,Neutral
Oldest cave painting of red claw hand could rewrite human creativity timeline,Neutral
Fact-checking Trump's Davos speech,Neutral
Philippine journalist found guilty of financing terrorism,Negative
Slot praises Salah return on important night for both,Positive
Djokovic cruises into Australian Open third round,Negative
Kane double as 10-man Bayern secure place in last 16,Positive
'Pioneer' gymnast Kinsella's rare return to elite competition after baby,Positive
Lopez double helps Barcelona defeat Slavia Prague,Neutral
'He came here for these nights' - Wissa inspires Newcastle,Neutral
'Unique' Rogers looks to prove worth for Villa & England,Positive
